,a,i,RAAN,NumPlanes,NumSatxPlane,InterRAAN,Eval
0,6642,89,64,41,1,7.638857410511863,0.0
1,6735,91,64,57,4,9.464080644809965,0.0
2,6784,96,65,12,8,4.547147035549052,0.0
3,6907,92,70,139,1,4.493292777274915,0.0
4,6474,86,87,6,15,2.5997313735075203,0.0
5,6475,107,80,15,8,6.85958018821708,0.0
6,6730,114,95,30,1,8.081102359494038,0.0
7,6544,108,77,10,24,2.377695796480612,0.0
8,6847,112,63,1,37,7.886491842051279,0.0
9,6499,92,96,12,14,3.726547905423667,0.0
10,6574,84,91,68,2,2.3670173076815617,0.0
11,6893,99,90,14,10,1.3482313049904748,1.0
12,6729,115,97,1,74,6.618718070134396,0.0
13,6897,82,94,15,3,6.472194562008298,0.0
14,6750,82,62,3,5,4.957154244340607,0.0
15,6499,105,96,1,136,8.953348382341991,3.0000000000000004
16,6549,95,60,5,41,5.192452807554289,0.0
17,6702,102,61,32,4,0.8083266854171156,0.0
18,6852,82,68,149,1,5.052951690876921,0.0
19,6497,115,71,37,1,1.542397492924491,0.0
20,6815,102,92,3,32,5.003867287183551,0.0
21,6594,88,66,2,15,1.4214027287973818,0.0
22,6796,82,81,9,18,3.323744877094473,0.0
23,6884,106,74,37,6,3.5098506837205337,0.0
24,6832,110,63,9,8,7.434116929903097,0.0
25,6769,88,92,23,5,0.3765622441935856,0.0
26,6535,98,79,10,7,0.0669381849089034,57.800000000000004
27,6778,104,85,1,63,8.389801119680676,0.0
28,6504,92,90,129,1,7.313720992348653,0.0
29,6531,83,61,61,1,4.560338926703973,0.0
30,6916,90,69,83,2,0.4891160643897396,0.0
31,6917,102,80,39,2,9.658181551754248,0.0
32,6668,82,84,4,56,9.5238439333167,0.0
33,6850,105,92,4,7,3.758649488282812,0.0
34,6840,96,62,21,4,7.85719954930193,0.0
35,6800,84,87,8,3,8.259140785161653,0.0
36,6803,84,91,1,10,1.484928310949255,0.0
37,6490,96,93,1,7,9.476983956676555,0.0
38,6848,81,75,59,4,4.412684962034495,0.0
39,6437,105,98,48,2,3.3164526635980973,0.0
40,6671,88,78,2,11,8.905138004143465,0.0
41,6506,96,96,5,21,0.3299047250858644,3.4000000000000004
42,6454,117,60,2,89,4.2782784063644375,0.0
43,6843,100,79,32,4,4.215068364698547,1.0
44,6556,85,82,22,7,4.99300920740318,0.0
45,6430,81,87,6,33,8.137302063542815,0.0
46,6639,97,65,8,29,3.561158879348896,55.400000000000006
47,6909,102,61,80,1,9.156881287882028,0.0
48,6473,109,90,3,36,8.01760398711953,0.0
49,6529,114,98,2,106,0.7163663374537643,0.0
