,sat1,sat2,a1,a2,RAAN1,RAAN2,Eval,Users
0,80,0,6778,6804,137,218,47584.15055362517,21
1,80,0,6778,6834,137,218,47584.15055362517,21
2,73,0,6778,6804,137,242,43399.8330572104,18
3,80,0,6778,6817,76,218,40766.08563037353,15
4,80,0,6801,6811,76,218,33115.47181904624,13
5,62,11,6782,6847,176,237,0.0,0
6,54,7,6792,6818,110,232,1525.225420471651,2
7,73,0,6800,6817,76,264,32581.207449665977,12
8,73,0,6785,6811,76,161,36340.54934257789,15
9,66,0,6781,6795,59,196,8539.743337801323,3
10,76,2,6810,6812,55,255,15635.009823883072,4
11,80,0,6800,6804,76,218,32719.292953067008,14
12,73,0,6800,6834,137,229,30914.8661298849,21
13,63,0,6778,6833,96,233,3009.7898181643304,2
14,73,6,6780,6792,41,247,3520.4934533614614,2
15,69,0,6780,6795,162,236,1139.5008741263428,1
16,73,0,6790,6811,76,218,35767.23287636327,16
17,54,19,6804,6786,138,281,3239.7929909826316,3
18,68,0,6785,6834,137,229,35393.69427100921,21
19,51,12,6789,6824,173,255,0.0,0
20,73,0,6778,6811,76,264,37406.014866774574,14
21,73,0,6800,6811,76,218,32581.207449665977,12
22,73,0,6800,6804,76,218,32581.207449665977,12
23,61,6,6784,6807,114,249,0.0,0
24,69,0,6793,6792,73,216,9411.359718272979,8
25,45,34,6778,6833,63,237,0.0,0
26,34,46,6800,6833,113,223,5358.536059551143,1
27,73,0,6800,6804,76,264,32581.207449665977,12
28,50,2,6789,6830,46,196,6354.247588213545,1
29,73,0,6778,6834,137,218,43399.8330572104,18
30,80,0,6801,6834,76,242,33115.47181904624,13
31,80,0,6790,6834,76,218,39001.03662738881,16
32,62,2,6790,6827,169,183,955.1522249558502,1
33,68,0,6785,6811,76,264,35882.26644204518,16
34,80,0,6800,6811,76,229,32719.292953067008,14
35,78,0,6778,6785,120,262,0.0,0
36,73,0,6785,6811,137,264,39468.96543303377,20
37,30,30,6788,6827,176,198,3756.603499229179,1
38,68,0,6792,6835,69,295,3127.6059525123724,3
39,73,0,6800,6817,76,161,32581.207449665977,12
40,68,0,6801,6834,76,264,26093.10780855838,12
41,80,0,6801,6834,76,229,33115.47181904624,13
42,68,0,6801,6804,137,229,30342.94120507918,20
43,51,29,6788,6788,173,252,818.2859762289227,1
44,59,18,6778,6818,99,251,6177.024165198826,2
45,73,0,6785,6821,137,264,39468.96543303377,20
46,58,0,6809,6827,173,233,0.0,0
47,80,0,6790,6834,76,229,39001.03662738881,16
48,80,0,6801,6804,76,218,33115.47181904624,13
49,73,0,6800,6834,137,161,30914.8661298849,21
50,73,5,6814,6788,97,278,3285.6362737057925,2
51,73,0,6800,6804,137,218,30914.8661298849,21
52,47,16,6808,6836,89,215,3626.036823253813,2
53,60,10,6820,6825,90,291,3789.5950536563187,3
54,73,0,6800,6811,137,264,30914.8661298849,21
55,50,11,6787,6814,47,197,6606.5795895634465,1
56,68,0,6785,6804,137,218,35393.69427100921,21
57,59,0,6790,6800,74,230,10776.734587201505,8
58,73,0,6778,6817,76,264,37406.014866774574,14
59,60,0,6800,6790,84,253,4677.736977575714,4
60,80,0,6785,6804,76,264,38743.88704658797,14
61,68,0,6785,6811,76,229,35882.26644204518,16
62,64,0,6853,6883,342,279,0.0,0
63,33,47,6867,6852,127,287,0.0,0
64,74,0,6787,6881,62,173,3853.4953769871286,4
65,33,43,6790,6853,34,173,0.0,0
66,74,0,6849,6843,27,288,0.0,0
67,41,28,6863,6815,50,10,1623.8279072795885,1
68,78,0,6859,6879,350,259,2299.9442956086623,2
69,30,41,6855,6865,172,94,770.0020931888307,1
70,31,33,6813,6820,7,305,3369.4900686810734,3
71,58,0,6836,6883,175,148,0.0,0
72,71,0,6843,6809,241,168,0.0,0
73,44,36,6834,6871,326,354,4778.155936001762,2
74,47,29,6796,6845,51,250,3117.0190064619055,3
75,69,0,6834,6808,153,201,0.0,0
76,68,0,6848,6851,195,170,749.9395013287335,1
77,65,0,6884,6801,134,170,0.0,0
78,43,34,6796,6785,33,11,842.7262247204985,1
79,50,29,6841,6848,266,113,2263.9034790247797,2
80,40,40,6826,6851,346,49,2158.7655381818568,1
81,28,51,6819,6871,258,320,6521.759424100552,2
82,67,0,6783,6883,283,149,0.0,0
83,28,50,6862,6794,337,104,1769.8308715774747,2
84,39,38,6849,6840,31,248,0.0,0
85,53,0,6796,6880,266,253,7496.081452300374,5
86,29,32,6851,6839,323,230,3808.1408360504056,3
87,54,0,6836,6839,88,353,4108.92322129362,3
88,39,36,6784,6798,320,23,2668.497223582709,2
89,38,40,6782,6845,189,305,4410.97695856045,3
90,72,0,6872,6807,249,155,0.0,0
91,71,0,6878,6795,246,316,0.0,0
92,41,32,6801,6797,6,22,1592.0067590394851,1
93,30,38,6831,6876,40,253,861.7640702087124,1
94,28,44,6856,6789,103,234,3300.195435483084,3
95,51,28,6849,6816,284,348,0.0,0
96,31,30,6841,6812,42,234,3132.6468432526526,2
97,34,30,6847,6822,255,57,3121.388813541208,3
98,75,0,6875,6880,204,183,2623.9934029208125,1
99,42,29,6780,6786,77,296,17631.103092284906,10
